title,artist,source,reference,product,income_type,income_period,rate,quantity,amount_received,percent_payable,amount_payable
20 Questions,Amy Rigby,"AMI Entertainment, Inc. - USA",17362,Amy Rigby,DIGI,01/19 - 03/19,0,7,0.05,50,0.02
20 Questions,Amy Rigby,"AMI Entertainment, Inc. - USA",17364,Amy Rigby,DIGI,07/19 - 09/19,0,1,0.01,50,0
20 Questions,Amy Rigby,Amazon Music Free Tier - USA,17578,Ad-supported,DIGI,03/20 - 03/20,0,1,0,50,0
20 Questions,Amy Rigby,Amazon Music Free Tier - USA,17579,Ad-supported,DIGI,04/20 - 04/20,0,1,0,50,0
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,17116,Amazon Music,DIGI,12/19 - 12/19,0,18,0.02,50,0.01
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,17129,Amazon Music,DIGI,01/20 - 01/20,0,72,0.11,50,0.06
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,17532,Amazon Music,DIGI,02/20 - 02/20,0,61,0.1,50,0.05
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,17581,Amazon Music,DIGI,03/20 - 03/20,0,34,0.05,50,0.03
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,17582,Amazon Music,DIGI,04/20 - 04/20,0,20,0.03,50,0.02
20 Questions,Amy Rigby,Amazon Music Unlimited - USA,18035,Amy Rigby,DIGI,05/20 - 05/20,0,19,0.03,50,0.01
20 Questions,Amy Rigby,Amazon Prime Music - USA,17112,Amazon Prime,DIGI,12/19 - 12/19,0,10,0.01,50,0.01
20 Questions,Amy Rigby,Amazon Prime Music - USA,17114,Amazon Prime,DIGI,11/19 - 11/19,0,35,0.05,50,0.02
20 Questions,Amy Rigby,Amazon Prime Music - USA,17130,Amazon Prime,DIGI,01/20 - 01/20,0,38,0.07,50,0.03
20 Questions,Amy Rigby,Amazon Prime Music - USA,17534,Amazon Prime,DIGI,02/20 - 02/20,0,67,0.12,50,0.06
20 Questions,Amy Rigby,Amazon Prime Music - USA,17571,Amazon Prime,DIGI,03/20 - 03/20,0,14,0.02,50,0.01
20 Questions,Amy Rigby,Amazon Prime Music - USA,17580,Amazon Prime,DIGI,04/20 - 04/20,0,14,0.02,50,0.01
20 Questions,Amy Rigby,Amazon Prime Music - USA,18033,Amy Rigby,DIGI,05/20 - 05/20,0,7,0.01,50,0.01
20 Questions,Amy Rigby,"Apple, Inc. - USA",17309,Amy Rigby,DIGI,10/19 - 12/19,0,174,0.07,50,0.04
20 Questions,Amy Rigby,"Apple, Inc. - USA",17934,Amy Rigby,MECH,01/20 - 03/20,0,694,0.3,50,0.15
20 Questions,Amy Rigby,CMRRA - Canada,17264,Apple,DIGI,07/17 - 09/17,0,0,0.16,50,0.08
20 Questions,Amy Rigby,CMRRA - Canada,17264,Emusic,DIGI,07/17 - 09/17,0,0,0.13,50,0.06
20 Questions,Amy Rigby,CMRRA - Canada,17264,Napster Llc,DIGI,07/17 - 09/17,0,0,0,50,0
20 Questions,Amy Rigby,"Google, Inc. - USA",17221,Amy Rigby,DIGI,10/19 - 12/19,0,88,0.1,50,0.05
20 Questions,Amy Rigby,"Google, Inc. - YouTube - USA",17464,,DIGI,10/19 - 12/19,0,77,0.04,50,0.02
20 Questions,Amy Rigby,IHEART Communications - USA,17131,iheart Plus,DIGI,01/20 - 01/20,0,5,0.01,50,0
20 Questions,Amy Rigby,IHEART Communications - USA,17131,iheart Premium,DIGI,01/20 - 01/20,0,12,0,50,0
20 Questions,Amy Rigby,"Music Reports, Inc. - USA",17006,Pandora Plus,DIGI,12/19 - 12/19,0,1,0,50,0
20 Questions,Amy Rigby,"Music Reports, Inc. - USA",17006,Pandora,DIGI,12/19 - 12/19,0,1,0,50,0
20 Questions,Amy Rigby,"Music Reports, Inc. - USA",17008,Hoopla,DIGI,12/19 - 12/19,0,1,0,50,0
20 Questions,Amy Rigby,"Music Reports, Inc. - USA",17014,Amazon Music,DIGI,11/19 - 11/19,0,24,0.03,50,0.02
20 Questions,Amy Rigby,"Music Reports, Inc. - USA",17016,Tidal - Premium,DIGI,01/19 - 01/19,0,6,0,50,0
20 Questions,Amy Rigby,Pandora - USA,17133,Pandora Plus,DIGI,01/20 - 01/20,0,2,0,50,0
20 Questions,Amy Rigby,Pandora - USA,17133,Pandora,DIGI,01/20 - 01/20,0,8,0.01,50,0
20 Questions,Amy Rigby,Pandora - USA,17133,Pandora,DIGI,01/20 - 01/20,0,1,0,50,0
20 Questions,Amy Rigby,Pandora - USA,17523,Pandora Plus,DIGI,02/20 - 02/20,0,5,0,50,0
20 Questions,Amy Rigby,Pandora - USA,17523,Pandora,DIGI,02/20 - 02/20,0,7,0,50,0
20 Questions,Amy Rigby,Pandora - USA,17536,Pandora Plus,DIGI,03/20 - 03/20,0,3,0,50,0
20 Questions,Amy Rigby,Pandora - USA,17536,Pandora,DIGI,03/20 - 03/20,0,4,0,50,0
20 Questions,Amy Rigby,Pandora - USA,17583,Pandora Plus,DIGI,04/20 - 04/20,0,1,0,50,0
20 Questions,Amy Rigby,Pandora - USA,17583,Pandora,DIGI,04/20 - 04/20,0,1,0,50,0
20 Questions,Amy Rigby,Pandora - USA,18039,Amy Rigby,DIGI,05/20 - 05/20,0,5,0,50,0
20 Questions,Amy Rigby,"Spotify USA, Inc. - USA",17426,Amy Rigby,DIGI,05/19 - 05/19,0,27,0.01,50,0
20 Questions,Amy Rigby,"Spotify USA, Inc. - USA",17428,Amy Rigby,DIGI,06/19 - 06/19,0,20,0.01,50,0.01
20 Questions,Amy Rigby,"Spotify USA, Inc. - USA",17431,Amy Rigby,DIGI,07/19 - 07/19,0,40,0.02,50,0.01
20 Questions,Amy Rigby,"Spotify USA, Inc. - USA",17434,Amy Rigby,DIGI,08/19 - 08/19,0,24,0.01,50,0.01
20 Questions,Amy Rigby,"Spotify USA, Inc. - USA",17437,Amy Rigby,DIGI,09/19 - 09/19,0,20,0.01,50,0
20 Questions,Amy Rigby,"Spotify USA, Inc. - USA",17440,Amy Rigby,DIGI,10/19 - 10/19,0,53,0.02,50,0.01
20 Questions,Amy Rigby,"Spotify USA, Inc. - USA",17443,Amy Rigby,DIGI,11/19 - 11/19,0,71,0.03,50,0.01
20 Questions,Amy Rigby,"Spotify USA, Inc. - USA",17446,Amy Rigby,DIGI,12/19 - 12/19,0,33,0.01,50,0
20 Questions,Amy Rigby,"Spotify USA, Inc. - USA",17929,Amy Rigby,MECH,01/20 - 01/20,0,92,0.04,50,0.02
20 Questions,Amy Rigby,"Spotify USA, Inc. - USA",17930,Amy Rigby,MECH,02/20 - 02/20,0,238,0.11,50,0.05
20 Questions,Amy Rigby,"Spotify USA, Inc. - USA",17931,Amy Rigby,MECH,03/20 - 03/20,0,64,0.03,50,0.01
20 Questions,Amy Rigby,"The Orchard Enterprises, Inc. - USA",17393,Amy Rigby,DIGI,03/19 - 03/19,0,4,0.32,50,0.16
20 Questions,Amy Rigby,"The Orchard Enterprises, Inc. - USA",17395,Amy Rigby,DIGI,05/19 - 05/19,0,1,0.08,50,0.04
20 Questions,Amy Rigby,"The Orchard Enterprises, Inc. - USA",17396,Amy Rigby,DIGI,06/19 - 06/19,0,1,0.08,50,0.04
20 Questions,Amy Rigby,"The Orchard Enterprises, Inc. - USA",17397,Amy Rigby,DIGI,07/19 - 07/19,0,4,0.32,50,0.16
20 Questions,Amy Rigby,"The Orchard Enterprises, Inc. - USA",17400,Amy Rigby,DIGI,10/19 - 10/19,0,1,0.09,50,0.05
20 Questions,Amy Rigby,"The Orchard Enterprises, Inc. - USA",17402,Amy Rigby,DIGI,12/19 - 12/19,0,3,0.23,50,0.11
20 Questions,Amy Rigby,Tidal - USA,17524,Tidal - Premium,DIGI,03/20 - 03/20,0,8,0.01,50,0
20 Questions,Amy Rigby,Tidal - USA,17584,Tidal - Premium,DIGI,05/20 - 05/20,0,7,0.01,50,0
20th Anniversary,Amy Rigby,CMRRA - Canada,17264,Emusic,DIGI,07/17 - 09/17,0,0,0.01,50,0
All I Want,Amy Rigby,AMCOS - Australia,17105,,DIGI,00/ 0 - 03/19,0,2,0.07,50,0.04
All I Want,Amy Rigby,AMCOS - Australia,17106,,DIGI,00/ 0 - 06/19,0,1,0.03,50,0.01
All I Want,Amy Rigby,AMCOS - Australia,17223,,DIGI,00/ 0 - 09/19,0,1,0.03,50,0.01
All I Want,Amy Rigby,"AMI Entertainment, Inc. - USA",17362,Ronnie Spector,DIGI,01/19 - 03/19,0,1,0.01,50,0
All I Want,Amy Rigby,"AMI Entertainment, Inc. - USA",17363,Ronnie Spector,DIGI,04/19 - 06/19,0,1,0.01,50,0
All I Want,Amy Rigby,"AMI Entertainment, Inc. - USA",17364,Ronnie Spector,DIGI,07/19 - 09/19,0,2,0.01,50,0.01
All I Want,Amy Rigby,Amazon Music Unlimited - USA,17116,Amazon Music,DIGI,12/19 - 12/19,0,16,0.02,50,0.01
All I Want,Amy Rigby,Amazon Music Unlimited - USA,17129,Amazon Music,DIGI,01/20 - 01/20,0,60,0.09,50,0.05
All I Want,Amy Rigby,Amazon Music Unlimited - USA,17532,Amazon Music,DIGI,02/20 - 02/20,0,64,0.11,50,0.05
All I Want,Amy Rigby,Amazon Music Unlimited - USA,17581,Amazon Music,DIGI,03/20 - 03/20,0,35,0.05,50,0.03
All I Want,Amy Rigby,Amazon Music Unlimited - USA,17582,Amazon Music,DIGI,04/20 - 04/20,0,22,0.03,50,0.02
All I Want,Amy Rigby,Amazon Music Unlimited - USA,18035,,DIGI,05/20 - 05/20,0,1,0,50,0
All I Want,Amy Rigby,Amazon Music Unlimited - USA,18035,Amy Rigby,DIGI,05/20 - 05/20,0,14,0.02,50,0.01
All I Want,Amy Rigby,"Apple, Inc. - USA",17309,Amy Rigby,DIGI,10/19 - 12/19,0,214,0.09,50,0.05
All I Want,Amy Rigby,"Apple, Inc. - USA",17309,Ronnie Spector,DIGI,10/19 - 12/19,0,447,0.22,50,0.11
All I Want,Amy Rigby,"Apple, Inc. - USA",17934,Amy Rigby,MECH,01/20 - 03/20,0,661,0.29,50,0.15
All I Want,Amy Rigby,"Apple, Inc. - USA",17934,Ronnie Spector,MECH,01/20 - 03/20,0,492,0.24,50,0.12
All I Want,Amy Rigby,CMRRA - Canada,17264,Apple,DIGI,07/17 - 09/17,0,0,0.53,50,0.26
All I Want,Amy Rigby,CMRRA - Canada,17264,Emusic,DIGI,07/17 - 09/17,0,0,0.08,50,0.04
All I Want,Amy Rigby,CMRRA - Canada,17264,Napster Llc,DIGI,07/17 - 09/17,0,0,0.01,50,0
All I Want,Amy Rigby,"Google, Inc. - USA",17221,Amy Rigby,DIGI,10/19 - 12/19,0,65,0.07,50,0.04
All I Want,Amy Rigby,"Google, Inc. - USA",17221,Ronnie Spector,DIGI,10/19 - 12/19,0,16,0.02,50,0.01
All I Want,Amy Rigby,"Google, Inc. - YouTube - USA",17464,,DIGI,10/19 - 12/19,0,18,0.02,50,0.01